INSERT INTO CONVERTOR2 (UTC,SYSTEMID,CONVERTER2TRANSISTORTEMP,CONVERTER2GATEDRIVERHIGHESTTEMP)
VALUES ('00:07:35:675644',2,'117.3126','2.979669'),
('00:07:36:689605',1,'117.7918','3.023586'),
('00:07:37:701433',1,'116.1634','3.012763'),
('00:07:38:710505',2,'116.7756','2.981844'),
('00:07:39:720751',1,'116.7637','2.97171'),
('00:07:40:721593',2,'117.5506','3.021868'),
('00:07:41:733483',1,'117.5507','3.015252'),
('00:07:42:735969',1,'117.8276','2.977315'),
('00:07:43:737838',2,'117.1006','2.989063'),
('00:07:44:752209',1,'117.306','3.010046'),
('00:07:45:756117',2,'116.2049','2.97808'),
('00:07:46:766401',1,'117.4639','2.99705'),
('00:07:47:778486',2,'117.2284','2.975321'),
('00:07:48:793318',2,'116.7531','2.974921'),
('00:07:49:798053',1,'117.0326','3.010285'),
('00:07:50:814569',1,'116.9721','2.984838'),
('00:07:51:825990',1,'116.7019','2.987992'),
('00:07:52:830413',1,'117.0864','3.000835'),
('00:07:53:845831',1,'116.1208','2.996533'),
('00:07:54:864781',2,'116.0915','3.007386'),
('00:07:55:867745',2,'116.8443','3.004684'),
('00:07:56:875167',2,'117.2001','2.989979'),
('00:07:57:875772',2,'117.8149','3.018636'),
('00:07:58:878587',2,'117.2476','3.028306'),
('00:07:59:890566',2,'116.2852','2.976863'),
('00:08:00:893287',2,'116.2999','2.980553'),
('00:08:01:901268',1,'116.2966','3.022718'),
('00:08:02:903536',1,'116.7043','2.990264'),
('00:08:03:917016',1,'117.4622','2.985424'),
('00:08:04:919408',1,'117.366','2.974173');
