INSERT INTO GENERATOR_BUS (UTC,SYSTEMID,BUSNO2BUSCBOPENED)
VALUES ('00:07:35:675644',2,'117.3126'),
('00:07:36:689605',1,'117.7918'),
('00:07:37:701433',1,'116.1634'),
('00:07:38:710505',2,'116.7756'),
('00:07:39:720751',1,'116.7637'),
('00:07:40:721593',2,'117.5506'),
('00:07:41:733483',1,'117.5507'),
('00:07:42:735969',1,'117.8276'),
('00:07:43:737838',2,'117.1006'),
('00:07:44:752209',1,'117.306'),
('00:07:45:756117',2,'116.2049'),
('00:07:46:766401',1,'117.4639'),
('00:07:47:778486',2,'117.2284'),
('00:07:48:793318',2,'116.7531'),
('00:07:49:798053',1,'117.0326'),
('00:07:50:814569',1,'116.9721'),
('00:07:51:825990',1,'116.7019'),
('00:07:52:830413',1,'117.0864'),
('00:07:53:845831',1,'116.1208'),
('00:07:54:864781',2,'116.0915'),
('00:07:55:867745',2,'116.8443'),
('00:07:56:875167',2,'117.2001'),
('00:07:57:875772',2,'117.8149'),
('00:07:58:878587',2,'117.2476'),
('00:07:59:890566',2,'116.2852'),
('00:08:00:893287',2,'116.2999'),
('00:08:01:901268',1,'116.2966'),
('00:08:02:903536',1,'116.7043'),
('00:08:03:917016',1,'117.4622'),
('00:08:04:919408',1,'117.366');
