INSERT INTO GEN_ALARM(UTC,SYSTEMID,GENENGINESHUTDOWN,GENACKNOWLEDGEALLALARMS,GENLIGHTLOADCANCEL,GENGOVERNORRAISE,GENGOVERNORLOWER,PMSWARNING)
VALUES ('00:07:35:675644',2,'117.3126','117.3126','16.11223','482.5239','25.67247','24.13719'),
('00:07:36:689605',1,'117.7918','117.7918','16.06074','478.1397','26.17611','23.99801'),
('00:07:37:701433',1,'116.1634','116.1634','16.07752','479.4492','26.2846','23.82406'),
('00:07:38:710505',2,'116.7756','116.7756','16.02723','479.2921','25.65233','23.80624'),
('00:07:39:720751',1,'116.7637','116.7637','15.80487','482.1163','26.49714','24.09592'),
('00:07:40:721593',2,'117.5506','117.5506','15.86985','476.5529','25.998','23.80792'),
('00:07:41:733483',1,'117.5507','117.5507','16.04832','483.2347','26.46248','23.83805'),
('00:07:42:735969',1,'117.8276','117.8276','15.80931','480.3099','25.886','23.97372'),
('00:07:43:737838',2,'117.1006','117.1006','16.13628','481.2413','26.09467','23.8652'),
('00:07:44:752209',1,'117.306','117.306','16.17177','478.3041','25.55145','24.08861'),
('00:07:45:756117',2,'116.2049','116.2049','15.85428','480.1487','25.81072','24.12339'),
('00:07:46:766401',1,'117.4639','117.4639','16.08576','477.1142','25.67777','24.14895'),
('00:07:47:778486',2,'117.2284','117.2284','15.97757','481.3339','25.9555','23.92832'),
('00:07:48:793318',2,'116.7531','116.7531','16.06384','479.6035','25.60531','24.02974'),
('00:07:49:798053',1,'117.0326','117.0326','15.97392','483.33','26.2714','23.8784'),
('00:07:50:814569',1,'116.9721','116.9721','16.17908','479.9132','25.95474','24.08672'),
('00:07:51:825990',1,'116.7019','116.7019','15.90278','480.6201','25.55829','24.09063'),
('00:07:52:830413',1,'117.0864','117.0864','16.1235','477.8042','25.7575','24.13882'),
('00:07:53:845831',1,'116.1208','116.1208','15.97842','482.9283','25.61796','23.96732'),
('00:07:54:864781',2,'116.0915','116.0915','16.1537','481.636','25.66674','24.02411'),
('00:07:55:867745',2,'116.8443','116.8443','15.82011','479.0343','25.67116','23.90709'),
('00:07:56:875167',2,'117.2001','117.2001','16.06341','481.2965','25.79344','23.96165'),
('00:07:57:875772',2,'117.8149','117.8149','15.86959','478.8798','26.39243','23.81062'),
('00:07:58:878587',2,'117.2476','117.2476','16.18526','477.3676','26.15591','24.1195'),
('00:07:59:890566',2,'116.2852','116.2852','16.16474','480.2465','25.51177','24.06506'),
('00:08:00:893287',2,'116.2999','116.2999','16.0135','478.0728','26.27674','24.04238'),
('00:08:01:901268',1,'116.2966','116.2966','16.13702','482.9179','25.71909','23.90045'),
('00:08:02:903536',1,'116.7043','116.7043','16.1936','481.6225','25.97407','23.98693'),
('00:08:03:917016',1,'117.4622','117.4622','16.05741','483.3286','26.25349','23.93228'),
('00:08:04:919408',1,'117.366','117.366','16.1148','482.2622','26.49491','23.86134');
