INSERT INTO LUB_OIL (UTC,SYSTEMID,LOINLETPRESS,MAINLOSUMPTANKLEVEL,LOINLETTEMP,NO1TCLOPRESS,NO1TCLOOUTTEMP,CYLLOINLETTEMP,MAINLOSUMPTKVOLUME)
VALUES ('00:07:35:675644',2,'117.3126','2.979669','16.11223','482.5239','25.67247','24.13719','7.017259'),
('00:07:36:689605',1,'117.7918','3.023586','16.06074','478.1397','26.17611','23.99801','7.010216'),
('00:07:37:701433',1,'116.1634','3.012763','16.07752','479.4492','26.2846','23.82406','6.954215'),
('00:07:38:710505',2,'116.7756','2.981844','16.02723','479.2921','25.65233','23.80624','6.992989'),
('00:07:39:720751',1,'116.7637','2.97171','15.80487','482.1163','26.49714','24.09592','7.042828'),
('00:07:40:721593',2,'117.5506','3.021868','15.86985','476.5529','25.998','23.80792','6.950746'),
('00:07:41:733483',1,'117.5507','3.015252','16.04832','483.2347','26.46248','23.83805','6.99589'),
('00:07:42:735969',1,'117.8276','2.977315','15.80931','480.3099','25.886','23.97372','7.007814'),
('00:07:43:737838',2,'117.1006','2.989063','16.13628','481.2413','26.09467','23.8652','7.013213'),
('00:07:44:752209',1,'117.306','3.010046','16.17177','478.3041','25.55145','24.08861','7.041287'),
('00:07:45:756117',2,'116.2049','2.97808','15.85428','480.1487','25.81072','24.12339','6.956649'),
('00:07:46:766401',1,'117.4639','2.99705','16.08576','477.1142','25.67777','24.14895','7.047213'),
('00:07:47:778486',2,'117.2284','2.975321','15.97757','481.3339','25.9555','23.92832','7.037974'),
('00:07:48:793318',2,'116.7531','2.974921','16.06384','479.6035','25.60531','24.02974','7.035862'),
('00:07:49:798053',1,'117.0326','3.010285','15.97392','483.33','26.2714','23.8784','6.984137'),
('00:07:50:814569',1,'116.9721','2.984838','16.17908','479.9132','25.95474','24.08672','7.002887'),
('00:07:51:825990',1,'116.7019','2.987992','15.90278','480.6201','25.55829','24.09063','6.98343'),
('00:07:52:830413',1,'117.0864','3.000835','16.1235','477.8042','25.7575','24.13882','6.994501'),
('00:07:53:845831',1,'116.1208','2.996533','15.97842','482.9283','25.61796','23.96732','7.026243'),
('00:07:54:864781',2,'116.0915','3.007386','16.1537','481.636','25.66674','24.02411','7.019329'),
('00:07:55:867745',2,'116.8443','3.004684','15.82011','479.0343','25.67116','23.90709','7.041434'),
('00:07:56:875167',2,'117.2001','2.989979','16.06341','481.2965','25.79344','23.96165','6.962463'),
('00:07:57:875772',2,'117.8149','3.018636','15.86959','478.8798','26.39243','23.81062','6.970359'),
('00:07:58:878587',2,'117.2476','3.028306','16.18526','477.3676','26.15591','24.1195','6.990405'),
('00:07:59:890566',2,'116.2852','2.976863','16.16474','480.2465','25.51177','24.06506','6.957535'),
('00:08:00:893287',2,'116.2999','2.980553','16.0135','478.0728','26.27674','24.04238','7.046757'),
('00:08:01:901268',1,'116.2966','3.022718','16.13702','482.9179','25.71909','23.90045','7.017132'),
('00:08:02:903536',1,'116.7043','2.990264','16.1936','481.6225','25.97407','23.98693','6.950382'),
('00:08:03:917016',1,'117.4622','2.985424','16.05741','483.3286','26.25349','23.93228','6.958091'),
('00:08:04:919408',1,'117.366','2.974173','16.1148','482.2622','26.49491','23.86134','6.961187');
